code,up_catholic,up_protestant,up_none_other,lapsed_catholic,lapsed_protestant,now_presbyterian,now_church_of_ireland,now_methodist,now_remaining_other_christian,sdz_unspecified_protestant,sdz_conservative_pool,sdz_free_presbyterian,grade_AB,grade_C1,grade_C2,grade_DE,id_british,id_irish,id_northern_irish,id_british_and_irish,id_british_and_northern_irish,id_irish_and_northern_irish,id_british_irish_and_northern_irish,id_other
N20001125,0.336336,0.258258,0.405405,0.102102,0.072072,0.045045,0.054054,0.012012,0.052553,0.012200,0.007977,0.002346,0.371069,0.424528,0.081761,0.122642,0.153153,0.240240,0.153153,0.006006,0.051051,0.024024,0.027027,0.345345
N20001126,0.308282,0.306748,0.384969,0.080105,0.107667,0.059724,0.070444,0.010720,0.040735,0.009456,0.006183,0.001819,0.242089,0.356013,0.128165,0.273734,0.173047,0.231240,0.182236,0.007657,0.059724,0.019908,0.033691,0.292496
N20001127,0.685393,0.119850,0.194757,0.083889,0.039023,0.018797,0.009398,0.001880,0.035876,0.000583,0.014292,0.000000,0.111546,0.573386,0.095890,0.219178,0.080827,0.539474,0.124060,0.003759,0.009398,0.037594,0.007519,0.197368
N20001128,0.232283,0.429134,0.338583,0.070866,0.059055,0.110236,0.122047,0.031496,0.083661,0.008858,0.010827,0.002953,0.105991,0.327189,0.211982,0.354839,0.318898,0.078740,0.106299,0.011811,0.082677,0.019685,0.019685,0.362205
N20001129,0.222222,0.472813,0.304965,0.059102,0.122931,0.094563,0.111111,0.044917,0.069504,0.016135,0.010550,0.003103,0.097826,0.375000,0.157609,0.369565,0.300948,0.109005,0.165877,0.007109,0.054502,0.014218,0.009479,0.338863
N20001130,0.787709,0.076350,0.135940,0.053016,0.015126,0.011132,0.016698,0.001855,0.022295,0.000363,0.008882,0.000000,0.059813,0.781308,0.054206,0.104673,0.059369,0.593692,0.113173,0.001855,0.001855,0.022263,0.001855,0.205937
N20001131,0.638191,0.197655,0.164154,0.066285,0.053842,0.018395,0.008361,0.008361,0.076837,0.001249,0.030610,0.000000,0.080420,0.669580,0.071678,0.178322,0.061873,0.494983,0.132107,0.008361,0.016722,0.023411,0.000000,0.262542
N20001132,0.435644,0.235644,0.328713,0.113509,0.075565,0.055336,0.043478,0.013834,0.036271,0.007130,0.003100,0.000930,0.143836,0.557078,0.084475,0.214612,0.181460,0.284024,0.161736,0.007890,0.047337,0.037475,0.017751,0.262327
N20001133,0.376276,0.335459,0.288265,0.098782,0.112953,0.071611,0.043478,0.014066,0.071386,0.014033,0.006101,0.001830,0.266580,0.579974,0.105332,0.048114,0.157088,0.275862,0.163474,0.007663,0.074074,0.039591,0.026820,0.255428
N20001134,0.567241,0.212069,0.220690,0.101724,0.068966,0.029310,0.046552,0.006897,0.042658,0.000694,0.016994,0.000000,0.245779,0.527205,0.088180,0.138837,0.141136,0.445783,0.127367,0.005164,0.030981,0.029260,0.022375,0.197935
