code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20003469,0.013373,0.149974,0.652927,0.074650,0.026754,0.025347,0.051632,0.002832,0.002511
N20003470,0.015719,0.369693,0.298541,0.192339,0.013632,0.088062,0.018135,0.002040,0.001839
N20003471,0.061232,0.419491,0.106988,0.238667,0.027073,0.130338,0.005834,0.005539,0.004838
N20003472,0.026346,0.361050,0.303957,0.176158,0.033629,0.067565,0.022694,0.004689,0.003912
N20003473,0.011682,0.280741,0.467177,0.135988,0.012961,0.059338,0.028784,0.001747,0.001583
N20003474,0.011488,0.214917,0.557102,0.111499,0.015418,0.046358,0.039382,0.002084,0.001753
N20003475,0.012537,0.322073,0.394376,0.141557,0.013396,0.084109,0.028187,0.002078,0.001686
N20003476,0.012932,0.380226,0.301842,0.160361,0.011927,0.110958,0.018168,0.001984,0.001602
N20003477,0.009656,0.335119,0.404989,0.136630,0.009837,0.072642,0.028275,0.001578,0.001275
N20003478,0.008859,0.332771,0.376030,0.148919,0.009611,0.098333,0.022820,0.001450,0.001207
N20003479,0.008932,0.327766,0.419047,0.135444,0.008499,0.071436,0.026317,0.001417,0.001142
N20003480,0.014271,0.420386,0.283165,0.161915,0.012013,0.084342,0.020008,0.002197,0.001702
N20003481,0.009851,0.272776,0.489777,0.125575,0.010106,0.059852,0.029186,0.001575,0.001302
N20003482,0.014988,0.296636,0.452158,0.122880,0.013808,0.064361,0.031037,0.002289,0.001844
N20003483,0.012182,0.329867,0.376303,0.156550,0.013723,0.082000,0.025502,0.002157,0.001715
N20003484,0.011087,0.423981,0.298080,0.144235,0.009548,0.090671,0.019376,0.001688,0.001334
N20003485,0.019419,0.490268,0.289000,0.098934,0.010462,0.068228,0.019411,0.002470,0.001809
N20003486,0.037622,0.486720,0.253064,0.105770,0.021283,0.066059,0.020908,0.005040,0.003533
N20003487,0.013425,0.446075,0.227506,0.184790,0.011930,0.097161,0.015367,0.002115,0.001633
N20003488,0.015108,0.394052,0.304488,0.164599,0.013435,0.083299,0.020819,0.002358,0.001843
N20003489,0.019301,0.367285,0.349943,0.140873,0.017903,0.073154,0.026169,0.002997,0.002375
N20003490,0.017120,0.418693,0.244770,0.180479,0.014886,0.102360,0.016953,0.002687,0.002052
N20003491,0.018770,0.492509,0.162126,0.187817,0.012989,0.110166,0.011001,0.002636,0.001986
N20003492,0.017657,0.397985,0.295836,0.165350,0.013466,0.086727,0.018622,0.002397,0.001960
N20003493,0.041302,0.486058,0.226187,0.126783,0.023400,0.068086,0.019001,0.005355,0.003829
N20003494,0.016823,0.385394,0.275931,0.178293,0.018272,0.100087,0.019939,0.002950,0.002310
N20003495,0.033334,0.480944,0.230324,0.134115,0.022798,0.071309,0.018742,0.004926,0.003509
N20003496,0.016937,0.419197,0.269063,0.170134,0.014125,0.087436,0.018643,0.002490,0.001975
N20003497,0.012340,0.517493,0.144777,0.171782,0.006969,0.136290,0.007733,0.001450,0.001165
N20003498,0.035511,0.463476,0.162882,0.191623,0.026066,0.098809,0.012958,0.004923,0.003752
N20003499,0.064035,0.420217,0.257404,0.113131,0.041191,0.065539,0.022994,0.009165,0.006322
N20003500,0.047886,0.471780,0.164568,0.163967,0.037196,0.088017,0.013890,0.007388,0.005309
N20003501,0.018652,0.452971,0.170193,0.212960,0.018437,0.109814,0.011334,0.003198,0.002440
N20003502,0.019900,0.448189,0.247793,0.160587,0.014317,0.087566,0.016715,0.002780,0.002152
N20003503,0.047157,0.322801,0.399823,0.096507,0.034652,0.056470,0.030796,0.006788,0.005005
N20003504,0.046259,0.442968,0.252926,0.122659,0.030725,0.069809,0.023531,0.006515,0.004608
N20003505,0.021349,0.480979,0.229210,0.141308,0.012127,0.094593,0.015834,0.002615,0.001986
N20003506,0.033273,0.548806,0.102591,0.163723,0.020486,0.115434,0.007572,0.004790,0.003325
N20003507,0.010013,0.324233,0.429754,0.133926,0.007612,0.067820,0.024197,0.001324,0.001120
N20003508,0.007984,0.312135,0.435354,0.123739,0.009169,0.079860,0.029214,0.001409,0.001136
N20003509,0.034287,0.499569,0.236776,0.104503,0.018988,0.078221,0.020157,0.004361,0.003139
N20003510,0.045455,0.582017,0.085476,0.140724,0.026708,0.100855,0.007408,0.006941,0.004416
N20003511,0.017768,0.504744,0.179288,0.159042,0.011125,0.112770,0.011211,0.002284,0.001768
N20003512,0.023852,0.620368,0.078180,0.137615,0.009963,0.120231,0.005153,0.002720,0.001919
N20003513,0.043728,0.428351,0.273164,0.124400,0.029454,0.065550,0.024932,0.006033,0.004389
N20003514,0.016922,0.429043,0.212358,0.212893,0.014615,0.095260,0.014197,0.002652,0.002061
N20003515,0.045816,0.551583,0.108634,0.154899,0.023584,0.096140,0.009477,0.005822,0.004044
N20003516,0.029311,0.498339,0.194582,0.157092,0.018099,0.080918,0.014959,0.003846,0.002856
N20003517,0.023889,0.608392,0.075872,0.141965,0.010023,0.130762,0.004561,0.002618,0.001918
N20003518,0.052272,0.479160,0.183215,0.140213,0.032247,0.085534,0.015150,0.007132,0.005077
N20003519,0.027203,0.489863,0.183375,0.169653,0.017551,0.092073,0.014009,0.003562,0.002711
N20003520,0.036383,0.494339,0.216729,0.130423,0.019881,0.076804,0.017509,0.004630,0.003302
N20003521,0.026444,0.528971,0.186676,0.129554,0.014294,0.095024,0.013177,0.003425,0.002434
N20003522,0.029697,0.502220,0.202128,0.140405,0.017401,0.086465,0.015221,0.003689,0.002773
N20003523,0.013044,0.354843,0.360409,0.137648,0.012911,0.095376,0.022033,0.002056,0.001681
N20003524,0.029238,0.540849,0.165615,0.133833,0.015238,0.096257,0.012740,0.003631,0.002599
N20003525,0.012096,0.423880,0.293025,0.156385,0.010282,0.079711,0.021313,0.001870,0.001439
N20003526,0.027087,0.589691,0.075383,0.167700,0.011690,0.118041,0.005235,0.002991,0.002180
N20003527,0.047056,0.474229,0.205297,0.138737,0.031485,0.074347,0.017091,0.006900,0.004858
N20003528,0.007774,0.321419,0.408299,0.155629,0.009984,0.068578,0.025656,0.001466,0.001195
N20003529,0.050193,0.484656,0.189572,0.140507,0.029819,0.076235,0.018103,0.006293,0.004623
N20003530,0.007239,0.532729,0.217992,0.131122,0.004740,0.091501,0.012953,0.000961,0.000764
N20003531,0.025720,0.647563,0.049461,0.142459,0.008361,0.119027,0.003111,0.002522,0.001776
N20003532,0.025405,0.616869,0.112502,0.128366,0.012106,0.091031,0.008275,0.003236,0.002211
N20003533,0.022784,0.639082,0.083916,0.123760,0.010239,0.109542,0.005967,0.002783,0.001926
N20003534,0.029665,0.589799,0.133459,0.127164,0.014057,0.089396,0.010297,0.003622,0.002541
N20003535,0.014258,0.408724,0.269015,0.176368,0.010787,0.100356,0.016994,0.001928,0.001572
N20003536,0.012551,0.465025,0.203517,0.188297,0.008001,0.107611,0.012221,0.001523,0.001254
N20003537,0.017082,0.155886,0.571318,0.076391,0.020631,0.018807,0.132809,0.003663,0.003412
N20003538,0.012725,0.129814,0.615020,0.066694,0.014873,0.014756,0.141112,0.002564,0.002443
N20003539,0.031606,0.102273,0.622817,0.063009,0.029685,0.015685,0.124316,0.005362,0.005247
N20003540,0.024552,0.172889,0.525960,0.091961,0.033524,0.020188,0.120079,0.005601,0.005247
N20003541,0.009929,0.278363,0.409834,0.169564,0.009914,0.041425,0.077356,0.001836,0.001780
N20003542,0.008388,0.161990,0.594646,0.095991,0.008891,0.021629,0.105339,0.001571,0.001556
N20003543,0.017256,0.391790,0.227646,0.243967,0.011214,0.065607,0.037529,0.002554,0.002438
N20003544,0.018356,0.178824,0.545223,0.105351,0.014649,0.029579,0.102282,0.002900,0.002836
N20003545,0.020535,0.263278,0.440195,0.103538,0.014679,0.035953,0.115692,0.003214,0.002915
N20003546,0.037123,0.431609,0.230837,0.164833,0.018650,0.065044,0.042512,0.004941,0.004451
N20003547,0.015542,0.141159,0.609905,0.064351,0.015798,0.018109,0.129469,0.002889,0.002777
N20003548,0.014362,0.135453,0.603656,0.074492,0.016091,0.016763,0.133649,0.002833,0.002701
N20003549,0.021602,0.092636,0.636596,0.056737,0.031253,0.012949,0.138544,0.004984,0.004699
N20003550,0.019599,0.140910,0.581749,0.079122,0.021923,0.016855,0.132087,0.004060,0.003697
N20003551,0.024943,0.132344,0.580361,0.081682,0.026727,0.018057,0.126769,0.004672,0.004444
N20003552,0.118511,0.352933,0.193358,0.147093,0.065696,0.043838,0.046276,0.017708,0.014588
N20003553,0.027961,0.098729,0.623471,0.062680,0.029604,0.013109,0.134025,0.005386,0.005036
N20003554,0.016080,0.299220,0.407818,0.143455,0.010486,0.052291,0.066049,0.002349,0.002252
N20003555,0.017767,0.090670,0.650377,0.051043,0.022044,0.010837,0.150074,0.003697,0.003491
N20003556,0.024517,0.347669,0.345247,0.146192,0.012800,0.056866,0.060589,0.003156,0.002964
N20003557,0.023574,0.364297,0.325948,0.149096,0.012863,0.057966,0.060312,0.003041,0.002902
N20003558,0.094856,0.195061,0.405269,0.088907,0.066032,0.022171,0.099581,0.015035,0.013088
N20003559,0.048074,0.111247,0.547941,0.056250,0.048383,0.013686,0.157167,0.009098,0.008155
N20003560,0.027314,0.132347,0.578227,0.084270,0.026033,0.017170,0.125043,0.004913,0.004683
N20003561,0.086711,0.143474,0.451278,0.066553,0.071233,0.015995,0.137228,0.014718,0.012810
N20003562,0.011717,0.381970,0.282355,0.181019,0.006995,0.089554,0.043125,0.001669,0.001594
N20003563,0.086766,0.297804,0.293655,0.129999,0.055560,0.041228,0.070045,0.013460,0.011484
N20003564,0.063193,0.134116,0.538240,0.068064,0.042206,0.016297,0.120618,0.008839,0.008428
N20003565,0.014958,0.087094,0.645229,0.050954,0.020888,0.011253,0.163109,0.003382,0.003133
N20003566,0.020065,0.091351,0.613827,0.043222,0.028305,0.010669,0.183785,0.004604,0.004173
N20003567,0.032080,0.209156,0.471486,0.122134,0.024660,0.029665,0.100847,0.005171,0.004800
N20003568,0.016865,0.438318,0.199198,0.207601,0.009141,0.094399,0.029990,0.002318,0.002171
N20003569,0.021724,0.285346,0.397853,0.162836,0.013148,0.051291,0.061944,0.002949,0.002910
N20003570,0.089515,0.456492,0.143333,0.168445,0.035924,0.053592,0.032001,0.011390,0.009307
N20003571,0.040377,0.404726,0.288215,0.128835,0.020673,0.049342,0.057160,0.005820,0.004852
N20003572,0.031766,0.501888,0.122559,0.199720,0.012121,0.105654,0.019365,0.003627,0.003301
N20003573,0.090471,0.419753,0.179660,0.163788,0.035671,0.055183,0.035444,0.010829,0.009203
N20003574,0.073331,0.311102,0.293542,0.171051,0.038547,0.039894,0.053586,0.010031,0.008917
N20003575,0.014999,0.125756,0.606559,0.078975,0.017735,0.015286,0.134683,0.003093,0.002916
N20003576,0.060158,0.465713,0.215780,0.113652,0.021008,0.056188,0.055755,0.006249,0.005497
N20003577,0.098296,0.410728,0.162439,0.167422,0.043720,0.061785,0.033244,0.011798,0.010570
N20003578,0.005675,0.055936,0.704131,0.028376,0.011346,0.006645,0.184792,0.001529,0.001570
N20003579,0.016124,0.211717,0.509426,0.100550,0.013782,0.027782,0.115095,0.002764,0.002760
N20003580,0.032615,0.220611,0.466957,0.123385,0.022477,0.034957,0.089416,0.004673,0.004909
N20003581,0.020170,0.089928,0.620735,0.047475,0.026788,0.011014,0.175206,0.004326,0.004358
N20003582,0.042033,0.307907,0.323657,0.173198,0.029224,0.045019,0.066392,0.006246,0.006325
N20003583,0.037238,0.098910,0.599854,0.058266,0.034830,0.011638,0.146330,0.006457,0.006478
N20003584,0.054527,0.250617,0.373993,0.156688,0.034244,0.040542,0.074131,0.007564,0.007694
N20003585,0.018915,0.342295,0.322304,0.186589,0.011772,0.057698,0.055042,0.002653,0.002731
N20003586,0.071567,0.162056,0.484085,0.081183,0.048132,0.019138,0.113002,0.010516,0.010320
