code,Sinn Féin,DUP,Alliance,UUP,SDLP,TUV,Green,PBP,Aontú
N20001220,0.053967,0.406883,0.202690,0.187011,0.025311,0.073639,0.037520,0.007866,0.005114
N20001221,0.274361,0.087976,0.273599,0.044125,0.166322,0.016704,0.063718,0.044406,0.028789
N20001222,0.036076,0.484620,0.144206,0.193049,0.015289,0.092902,0.025546,0.005051,0.003261
N20001223,0.031275,0.501708,0.127392,0.199900,0.012984,0.097066,0.022552,0.004331,0.002793
N20001224,0.028605,0.483481,0.153135,0.202134,0.011641,0.088931,0.025606,0.003919,0.002547
N20001225,0.033351,0.508200,0.097682,0.218702,0.011208,0.108137,0.015887,0.004131,0.002701
N20001226,0.093247,0.056687,0.568565,0.032118,0.083295,0.011649,0.123793,0.018463,0.012182
N20001227,0.038814,0.461744,0.170041,0.183933,0.016354,0.090625,0.029572,0.005412,0.003505
N20001228,0.023096,0.524012,0.093807,0.219785,0.008845,0.110359,0.015011,0.003084,0.002000
N20001229,0.040700,0.514366,0.078648,0.218631,0.015517,0.109917,0.013343,0.005393,0.003485
N20001230,0.269798,0.044882,0.330660,0.026220,0.170432,0.009967,0.074198,0.044739,0.029104
N20001231,0.190470,0.094773,0.385066,0.052916,0.122571,0.020691,0.080631,0.031960,0.020922
N20001232,0.065661,0.352805,0.236454,0.179900,0.032205,0.075301,0.041457,0.009810,0.006409
N20001233,0.313367,0.097751,0.190757,0.055371,0.195719,0.020731,0.040530,0.051991,0.033785
N20001234,0.066226,0.082657,0.585619,0.039821,0.060283,0.014738,0.128966,0.013038,0.008651
N20001235,0.652158,0.027106,0.015541,0.015569,0.164426,0.006605,0.003476,0.071704,0.043414
N20001236,0.682106,0.019651,0.004950,0.011958,0.158667,0.005314,0.001159,0.072564,0.043631
N20001237,0.666614,0.020421,0.010310,0.013096,0.165524,0.005458,0.002269,0.072105,0.044203
N20001238,0.699391,0.018257,0.005996,0.011815,0.146066,0.005158,0.001274,0.069492,0.042551
N20001239,0.685771,0.019087,0.006801,0.010508,0.155818,0.004803,0.001538,0.072413,0.043260
N20001240,0.632448,0.017995,0.012627,0.010170,0.195978,0.004153,0.002830,0.077005,0.046794
N20001241,0.678862,0.013012,0.006141,0.007808,0.170429,0.003319,0.001434,0.074159,0.044836
N20001242,0.655839,0.028764,0.013960,0.016237,0.160727,0.007070,0.003029,0.071193,0.043181
N20001243,0.704300,0.020036,0.006386,0.011905,0.140126,0.005263,0.001366,0.069033,0.041583
N20001244,0.656972,0.013278,0.010117,0.008635,0.184105,0.003551,0.002262,0.074855,0.046226
N20001245,0.660415,0.019457,0.013106,0.012533,0.169200,0.005295,0.002878,0.072543,0.044573
N20001246,0.643215,0.028004,0.014421,0.017343,0.169896,0.007397,0.003179,0.072302,0.044245
N20001247,0.617360,0.024992,0.020026,0.015822,0.191763,0.006259,0.004467,0.073475,0.045836
N20001248,0.677873,0.018768,0.008001,0.010488,0.161899,0.004593,0.001830,0.072853,0.043695
N20001249,0.076948,0.504974,0.088866,0.181972,0.026592,0.087653,0.017097,0.009725,0.006173
N20001250,0.665366,0.020975,0.007308,0.012174,0.169415,0.005424,0.001715,0.073189,0.044435
N20001251,0.645463,0.022920,0.011310,0.014563,0.177944,0.006028,0.002547,0.073971,0.045254
N20001252,0.695796,0.019107,0.006738,0.011519,0.148053,0.004981,0.001451,0.069916,0.042439
N20001253,0.648605,0.027080,0.012587,0.016624,0.168522,0.007113,0.002805,0.072502,0.044161
N20001254,0.580150,0.055192,0.034297,0.030271,0.170308,0.012666,0.007341,0.067723,0.042052
N20001255,0.678082,0.031521,0.010649,0.016812,0.142735,0.007650,0.002347,0.069026,0.041177
N20001256,0.695130,0.021938,0.006859,0.013102,0.144558,0.005691,0.001474,0.069263,0.041985
N20001257,0.684772,0.016705,0.005231,0.009525,0.161154,0.004182,0.001203,0.073397,0.043831
N20001258,0.645321,0.017907,0.012779,0.011795,0.183826,0.004861,0.002893,0.074641,0.045977
N20001259,0.661193,0.018822,0.010820,0.011216,0.172074,0.004785,0.002458,0.073882,0.044750
N20001260,0.604761,0.022076,0.025734,0.013620,0.200785,0.005576,0.005736,0.075088,0.046624
N20001261,0.690916,0.020592,0.006438,0.011702,0.149990,0.005274,0.001453,0.071077,0.042558
N20001262,0.659844,0.013534,0.008739,0.007597,0.183863,0.003182,0.002174,0.075468,0.045599
N20001263,0.676477,0.022843,0.010245,0.012468,0.155812,0.005371,0.002363,0.071608,0.042813
N20001264,0.561084,0.016354,0.030434,0.010139,0.241813,0.004048,0.007526,0.079431,0.049171
N20001265,0.595544,0.013851,0.020319,0.008816,0.225590,0.003499,0.004775,0.078749,0.048857
N20001266,0.689449,0.020020,0.007737,0.011202,0.151265,0.004998,0.001689,0.070942,0.042698
N20001267,0.639945,0.023907,0.015317,0.015196,0.178427,0.006325,0.003295,0.072511,0.045077
N20001268,0.679218,0.016035,0.008261,0.009369,0.164158,0.003968,0.001832,0.073038,0.044121
N20001269,0.654559,0.033150,0.018683,0.017913,0.152510,0.007938,0.004122,0.069274,0.041851
N20001270,0.665268,0.024622,0.008351,0.013170,0.163868,0.005879,0.001988,0.073284,0.043571
N20001271,0.472325,0.032262,0.111697,0.020198,0.218550,0.007864,0.025908,0.067987,0.043209
N20001272,0.669658,0.012262,0.008011,0.006969,0.177817,0.002939,0.001850,0.075101,0.045394
N20001273,0.648602,0.018823,0.009476,0.011699,0.183412,0.004883,0.002189,0.075043,0.045873
N20001274,0.612520,0.031566,0.015957,0.017077,0.191757,0.007134,0.003739,0.074814,0.045435
N20001275,0.366533,0.046448,0.203698,0.026057,0.205973,0.010116,0.046305,0.057791,0.037079
N20001276,0.663819,0.031112,0.011320,0.017665,0.153286,0.007783,0.002432,0.070201,0.042382
N20001277,0.670110,0.020472,0.007349,0.011812,0.166151,0.005057,0.001692,0.073251,0.044105
N20001278,0.656027,0.023163,0.008508,0.013800,0.172433,0.005946,0.001902,0.073469,0.044752
N20001279,0.642662,0.021075,0.010779,0.012852,0.184108,0.005525,0.002504,0.074761,0.045733
N20001280,0.501739,0.043392,0.066238,0.023039,0.224709,0.009152,0.016914,0.070530,0.044288
N20001281,0.560038,0.028913,0.035499,0.016069,0.222154,0.006733,0.008758,0.075087,0.046748
N20001282,0.663556,0.014940,0.008988,0.009714,0.177399,0.003996,0.001923,0.073813,0.045671
N20001283,0.667286,0.017759,0.014282,0.010430,0.166690,0.004495,0.003026,0.071874,0.044158
N20001284,0.685168,0.019324,0.005485,0.012491,0.155843,0.005416,0.001210,0.071521,0.043542
N20001285,0.539677,0.050422,0.060602,0.028231,0.186915,0.012109,0.012957,0.066706,0.042381
N20001286,0.672388,0.017387,0.014231,0.010488,0.163197,0.004270,0.003033,0.071216,0.043789
N20001287,0.667089,0.025168,0.009098,0.014946,0.159926,0.006340,0.001949,0.071956,0.043528
N20001288,0.691739,0.020345,0.007005,0.011909,0.149357,0.005261,0.001563,0.070392,0.042429
N20001289,0.340836,0.098985,0.188800,0.050201,0.174563,0.021436,0.040645,0.051601,0.032933
N20001290,0.668043,0.020580,0.008474,0.012767,0.166025,0.005563,0.001899,0.072384,0.044265
N20001291,0.685046,0.019428,0.005369,0.011435,0.157073,0.005120,0.001226,0.071884,0.043418
N20001292,0.140787,0.336177,0.172758,0.152382,0.060685,0.072340,0.032621,0.019626,0.012624
N20001293,0.685142,0.020034,0.011744,0.012423,0.150374,0.005219,0.002449,0.069930,0.042684
N20001294,0.059281,0.353434,0.247877,0.174928,0.031843,0.072789,0.044487,0.009283,0.006079
N20001295,0.691878,0.024590,0.007445,0.013948,0.143313,0.006244,0.001644,0.069288,0.041650
N20001296,0.095859,0.214382,0.391386,0.092185,0.061179,0.043178,0.075125,0.016194,0.010511
