code,index
N20001080,0.96373
N20001081,0.91651
N20001082,0.86097
N20001083,0.91652
N20001084,0.77009
N20001085,0.99925
N20001086,0.80264
N20001087,0.92933
N20001088,0.94814
N20001089,0.77009
N20001090,0.82078
N20001091,0.82135
N20001092,0.77009
N20001093,0.77009
N20001094,0.90455
N20001095,0.77009
N20001096,0.79245
N20001097,0.77009
N20001098,0.91886
N20001099,0.94904
N20001100,0.81919
N20001101,0.80305
N20001102,0.90846
N20001103,1.03884
N20001104,0.78945
N20001105,1.13117
N20001106,0.92007
N20001107,1.10737
N20001108,1.00027
N20001109,0.82977
N20001110,0.90948
N20001111,0.79259
N20001112,1.12280
N20001113,1.13697
N20001114,1.01526
N20001115,1.03096
N20001116,0.77009
N20001117,0.77009
N20001118,1.01629
N20001119,1.10931
N20001120,1.15242
N20001121,1.06974
N20001122,1.10111
N20001123,1.10280
N20001124,1.09975
N20001125,1.01985
N20001126,0.93454
N20001127,1.11039
N20001128,0.89356
N20001129,0.88329
N20001130,1.26010
N20001131,1.14080
N20001132,1.03626
N20001133,1.12060
N20001134,1.10485
N20001135,1.03077
N20001136,1.15347
N20001137,1.12813
N20001138,0.95348
N20001139,1.09013
N20001140,1.00055
N20001141,0.91824
N20001142,1.13341
N20001143,1.08884
N20001144,1.04954
N20001145,1.07273
N20001146,1.08624
N20001147,0.81288
N20001148,0.98467
N20001149,1.00033
N20001150,0.92962
N20001151,1.14100
N20001152,1.03254
N20001153,1.14759
N20001154,0.85724
N20001155,1.03228
N20001156,1.06014
N20001157,1.09001
N20001158,1.00301
N20001159,1.02941
N20001160,1.06466
N20001161,1.03363
N20001162,1.00913
N20001163,1.00667
N20001164,1.10561
N20001165,1.06812
N20001166,1.09860
N20001167,1.06663
N20001168,1.04994
N20001169,1.06296
N20001170,1.05174
N20001171,1.03626
N20001172,1.05567
N20001173,1.05874
N20001174,1.04612
N20001175,1.05221
N20001176,1.07768
N20001177,1.05554
N20001178,1.06363
N20001179,1.02719
N20001180,1.09405
N20001181,1.10686
N20001182,1.10487
N20001183,1.07057
N20001184,1.10280
N20001185,1.05194
N20001186,1.09336
N20001187,1.06410
N20001188,1.12386
N20001189,1.11912
N20001190,1.18597
N20001191,1.13892
N20001192,1.16997
N20001193,1.11136
N20001194,0.91350
N20001195,1.14094
N20001196,1.10029
N20001197,1.14468
N20001198,1.11450
N20001199,1.05580
N20001200,1.06796
N20001201,1.02511
N20001202,1.09863
N20001203,0.89343
N20001204,1.15330
N20001205,0.95310
N20001206,0.78919
N20001207,0.77009
N20001208,0.77009
N20001209,1.00150
N20001210,0.93067
N20001211,0.82757
N20001212,1.24728
N20001213,0.93704
N20001214,0.91436
N20001215,0.94919
N20001216,0.96555
N20001217,0.93843
N20001218,1.07645
N20001219,1.02895
N20001220,0.95233
N20001221,1.04886
N20001222,0.85318
N20001223,0.87959
N20001224,0.82372
N20001225,0.90159
N20001226,1.04992
N20001227,0.77482
N20001228,0.86083
N20001229,0.82940
N20001230,1.10623
N20001231,1.08054
N20001232,0.87138
N20001233,1.08430
N20001234,1.04394
N20001235,0.91451
N20001236,1.14369
N20001237,1.17967
N20001238,1.19992
N20001239,0.87345
N20001240,0.93750
N20001241,1.00002
N20001242,0.92912
N20001243,0.93063
N20001244,1.18563
N20001245,1.12938
N20001246,1.21398
N20001247,1.14924
N20001248,0.84496
N20001249,0.82418
N20001250,1.14368
N20001251,1.20242
N20001252,0.99318
N20001253,1.13001
N20001254,1.00706
N20001255,0.87016
N20001256,1.01537
N20001257,0.92078
N20001258,1.20666
N20001259,1.01761
N20001260,1.17965
N20001261,0.91357
N20001262,0.89856
N20001263,0.82000
N20001264,1.18962
N20001265,1.17741
N20001266,0.87199
N20001267,1.17059
N20001268,0.87289
N20001269,0.89809
N20001270,0.85563
N20001271,1.15479
N20001272,0.89679
N20001273,1.19326
N20001274,0.93152
N20001275,1.10382
N20001276,0.91606
N20001277,0.98821
N20001278,1.14125
N20001279,1.19620
N20001280,1.05126
N20001281,1.09703
N20001282,1.18321
N20001283,0.96563
N20001284,1.18480
N20001285,0.99376
N20001286,0.93327
N20001287,1.02050
